Author	Authority	ISNI
Mary,	LCNACO|Mary Queen of Scots	https://isni.org/isni/0000000121035913
Mary,	LCNACO|Mary Queen of Scots	https://isni.org/isni/0000000121035913
Mary,	LCNACO|Mary Queen of Scots	https://isni.org/isni/0000000121035913
Whyte-Melville, G. J.	LCNACO|G. J Whyte-Melville	https://isni.org/isni/0000000109097070
Millar, J. P. M.	LCNACO|J. P. M. Millar	https://isni.org/isni/0000000079078396
Miller, Hugh,	LCNACO|Hugh Miller	https://isni.org/isni/000000012101774X
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874
Lockhart, Robert Hamilton Bruce,	LCNACO|Robert Hamilton Bruce Lockhart	https://isni.org/isni/0000000108766631
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733
Jamieson, Charles,		https://isni.org/isni/0000000043318749
Leonard, Tom,	LCNACO|Tom Leonard	https://isni.org/isni/0000000081848038
Reid, Thomas,	NLS|Thomas Reid	https://isni.org/isni/0000000121244723
Reid, Thomas,	NLS|Thomas Reid	https://isni.org/isni/0000000121244723
Paterson, Don,	LCNACO|Don Paterson	https://isni.org/isni/0000000121293699
Cumming, Alexander,		
Cumming, A. D.		
Cumming, A. D.		
Cumming, A. D.		
Gordon Cumming, C. F.	LCNACO|C. F. Gordon Cumming	https://isni.org/isni/0000000110644852
Donnison, David,		
Tranter, Nigel G.,		
Forde, Catherine,		
Fry, Michael,		
Dunbar, William,	NLS|William Dunbar	https://isni.org/isni/0000000118619977
Henryson, Robert,		https://isni.org/isni/0000000108666155
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874
Walter, John,		
Dunbar, William,	NLS|William Dunbar	https://isni.org/isni/0000000118619977
Glen, William,	LCNACO|William Glen	https://isni.org/isni/0000000042171191
Glasier, J. Bruce	LCNACO|J. Bruce Glasier	https://isni.org/isni/0000000107792256
Glasier, J. Bruce	LCNACO|J. Bruce Glasier	https://isni.org/isni/0000000107792256
Wallace, William,	LCNACO|William Wallace	https://isni.org/isni/0000000032593921
Grahame, Kenneth,	LCNACO|Kenneth Grahame	https://isni.org/isni/0000000108565880
Aytoun, William Edmondstoune,	NLS|William Edmondstoune Aytoun	https://isni.org/isni/0000000118759320
Grahame, Kenneth,	LCNACO|Kenneth Grahame	https://isni.org/isni/0000000108565880
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874
Drummond, William,	LCNACO|William Drummond	https://isni.org/isni/0000000114371812
Heron, Robert,	LCNACO|Robert Heron	https://isni.org/isni/0000000083742376
Ramsay, Allan,	NLS|Allan Ramsay	https://isni.org/isni/0000000116764943
Ellmann, Lucy,	LCNACO|Lucy Ellmann	https://isni.org/isni/0000000081823148
Moffat, Alistair,	LCNACO|Alistair Moffat	https://isni.org/isni/0000000453131194
Williamson, Duncan,	LCNACO|Duncan Williamson	https://isni.org/isni/0000000084777546
McIntosh, James,		
Macintosh, John,		
Macintosh, John,		
Macintosh, John,		
MacDonald, George,	LCNACO|George MacDonald	https://isni.org/isni/0000000121363415
Walker, Neil,	LCNACO|Neil Walker	https://isni.org/isni/000000010931125X
Barclay, Robert,		
Buchan, John,	LCNACO|John Buchan	https://isni.org/isni/0000000121371562
Gillies, William George,	LCNACO|William George Gillies Sir	https://isni.org/isni/0000000066820678
Grant, James,	LCNACO|James Grant	https://isni.org/isni/0000000108890587
Oliphant,	LCNACO|Oliphant Mrs	https://isni.org/isni/0000000121319350
Walker, Neil,	LCNACO|Neil Walker	https://isni.org/isni/000000010931125X
Macduff, John R.	LCNACO|John R. Macduff	https://isni.org/isni/0000000080774372
Williams, Chris,		https://isni.org/isni/0000000124001671
McIlvanney, William,	LCNACO|William McIlvanney	https://isni.org/isni/0000000114801077
Halkett, John,		
Cairney, John,	LCNACO|John Cairney	https://isni.org/isni/0000000110516957
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491
Jameson, Robert,	NLS|Robert Jameson	https://isni.org/isni/0000000110426222
Page, Alison,		https://isni.org/isni/0000000499838363
Spring, Ian,		https://isni.org/isni/0000000047075086
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874
Hume, David,	NLS|David Hume	https://isni.org/isni/0000000121318235
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874
Kennedy, Grace,	LCNACO|Grace Kennedy	https://isni.org/isni/000000008078321X
Thomas,		https://isni.org/isni/0000000454943194
