Author	Authority	ISNI	QA_Status
Mary,	LCNACO|Mary Queen of Scots	https://isni.org/isni/0000000121035913	ISNIQAPASS
Mary,	LCNACO|Mary Queen of Scots	https://isni.org/isni/0000000121035913	ISNIQAPASS
Mary,	LCNACO|Mary Queen of Scots	https://isni.org/isni/0000000121035913	ISNIQAPASS
Whyte-Melville, G. J.	LCNACO|G. J Whyte-Melville	https://isni.org/isni/0000000109097070	ISNIQAPASS
Millar, J. P. M.	LCNACO|J. P. M. Millar	https://isni.org/isni/0000000079078396	ISNIQAPASS
Miller, Hugh,	LCNACO|Hugh Miller	https://isni.org/isni/000000012101774X	ISNIQAPASS
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224	ISNIQAPASS
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224	ISNIQAPASS
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224	ISNIQAPASS
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224	ISNIQAPASS
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224	ISNIQAPASS
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224	ISNIQAPASS
Banks, Iain,	NLS|Iain Banks	https://isni.org/isni/0000000120285224	ISNIQAPASS
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874	ISNIQAPASS
Lockhart, Robert Hamilton Bruce,	LCNACO|Robert Hamilton Bruce Lockhart	https://isni.org/isni/0000000108766631	ISNIQAPASS
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733	
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733	
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733	
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733	
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733	
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733	
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733	
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733	
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733	
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733	
Giles, Harry Josephine,		https://isni.org/isni/0000000402270733	
Jamieson, Charles,		https://isni.org/isni/0000000043318749	
Leonard, Tom,	LCNACO|Tom Leonard	https://isni.org/isni/0000000081848038	ISNIQAPASS
